HITId,Input.text,Answer.sentiment.label
3ACRLU860NLPHRF5TCGNHJFFIYBEBV,@paulkrugman This is why political affiliation is a bad idea,Private
3ZCC2DXSD7BJ04P73561WX5WLJYYY9,@TheMarkPantano Oh yeah I have no affiliation with the company in my last tweet,Private
3HXCEECSQM0J5UZCZR8KA4EYRD2YZ0,@FoxNews Conservatives want to be able to fire gays but make political affiliation a protected class. Know he knows how Kap feels.,Private
3RBI0I35XEAIK1SJEKDB639JCI33Y8,@jlflorida14 @jalepenopooper He can't possibly have one. Like somehow it makes it worse depending oh the guy's political affiliation?,Private
3LN50BUKPVI5RRQ7T3LSPYAO8ZRLPA,@JeffSmithMO I think 2016 nuked the idea of voting for someone based on group affiliation,Private
3RKHNXPHGW37ZQGLPP8LK4K8RGEKU2,I realized my affiliation with crows bcs of itachi and karasuno.,Private
39WICJI5ATZIPR2OA6FUKAILIC73ZZ,"@FranKingston Complete rubbish. Fla, veterans marched to #standuptoterror TR had no official affiliation to this peacfull march.",Private
32CAVSKPCEW5TPUZHF23FPO9IAEU19,Politics of this nation. Everyone ready to deny affiliation at the first fall you experience. Choose your alliances carefully.,Private
39I4RL8QGJOHG2LY4YE6U86M0MN4HW,"@memphisbbq77 @PrisonPlanet @chezamission @Newsweek If he is what they claim, then why can't the FBI find out his religious affiliation?",Private
3BFF0DJK8XJQNWE4UTRD6UPGPWKTS1,"@PreetiSMenon @PiyushGoyal There will be no qualification required to get project from BJP, only BJP affiliation is required",Private
3OB6JN3A9QWA9MO767QWU6PS9M5RMA,People used to communicate their political affiliation through post it notes or writing in books in Hallward Library #inclusivity,Private
3HKIF5DF6Y44DCWZ1NSFQG517ENG94,@jaketapper @FoxNews @whca Political affiliation. As if there is not enough evidence that it goes way beyond that narrative.,Private
341H3G5YF0LM8Z3RRJXBICKEF0NZ00,"@CNNPolitics Give me a break. Can we all agree that sexual predators are bad, regardless of political affiliation?",Private
37AQKJ12TXVR2WRJJTW3GZL2RFYTTQ,@tedlieu what?s your affiliation to #votevets you reference them a lot? I like to know who?s using my status and why. #veterans,Private
3S1WOPCJFG0VZADHH4T4F7YSQ3KEJG,@GirlSwagger101 I just noticed my typo. *no religious affiliation,Private
337F8MIIMZK652F26Q7LOG75E5K40T,@MrMattMeyer @coachmount I am not a coach by any means haha. I have no affiliation with any school just a fan. Nice try though.,Private
311HQEI8RSN0QA3BCIIKXRU1NETZ70,@Lord_Gow (uninformed blanket generalization of political affiliation),Private
33CLA8O0MII43CWQKKMJZG5JCLTRF3,@RICE_and_dice Your bf?s parents both graduated from MSU...there?s your affiliation!,Private
385MDVINFCMPGAZ824NA1D5SX7PWJE,@EvilDevilInside @noahkalina @ShaunKing That source says nothing about polictical affiliation.,Private
3IZVJEBJ6ARHMAP6T8DSRDU5S39Z61,@AllenWest I want to know his political affiliation if any,Private
3MA5N0ATTCIKRU5QKPNM2S55CWPWKD,@UKtrevorUK @jeffborzello Players have always narrowed down schools based on AAU brand affiliation douchecanoe,Private
3UAU495MIIZQPH10NH0ERL1HBLOOUQ,@PattiPugs64 @AllenWest They better be careful for what they wish for! We still don't know his political views or affiliation,Private
3VI0PC2ZAYRI6LVVSMB1BS0L535XOR,"Corker, McCain, Graham, Ryan and McConnell need to officially announce their real political affiliation and stop fooling their constituency.",Private
3OID399FXGEA22DL2JRZUROFXK2DFJ,@MatchsticksCGY When did we switch affiliation from the Adirondack Thunder?,Private
3SMIWMMK61CYUQA2E3RO8FE3ENNUW8,@Gabbiedrice78K @Danofran @bravenak Caring more about political affiliation than policy substance. ??,Private
3ATYLI1PRT9HB1Q6BIW0KJS6U5QOJU,@McCormickProf @mattklewis We are categorizing sexual predators by political affiliation?,Private
3VQTAXTYN3S66NCRJCVSL11I4M5BU9,"@nytimes That's life among the 1%, regardless of political affiliation - turn a blind eye to keep what you got.",Private
3H1C3QRA01Q8RW7B7CCIS3LX0JBEC2,@gabbydawsons to defend a person you had no affiliation with in the first place,Private
3TZDZ3Y0JSD79X6WJ47CJT1V5P419P,"@maudnewton against all of us, regardless of affiliation, association, or identification",Private
3R15W654VD0QR3RMTG0HP30YDVDLQ1,"@SamanthaJPower 5 for 5 in class, regardless of political affiliation",Private
3QQUBC64ZEL0O0VJR7BOW30GFT0XNC,@Danofran @Gabbiedrice78K @bravenak Lean on that too hard and that political affiliation won't be necessary for anything.,Private
31N9JPQXIPP32AV4M3T2THCMR3HHN3,@FoxNews Talent should be the driver not political affiliation that's why movies r not doing well Hollywood morons,Private
3R16PJFTS3Y8ISM6AJH370MES3R4K0,@SI_PeterKing Political disgrace only because of your political affiliation,Private
3XWUWJ18TLXL2MLXJ3CNQRT6T7CUU9,@NickJFuentes Confederates were democrats. What liberals are saying is its wrong to celebrate their own political affiliation.,Private
3ODOP6T3ASRD1CIGLDBZ740KB3442D,@theblaze He needs to be sued for refusing service based on their religious affiliation!,Private
3L55D8AUFA46X1O27DOCZ6DDIVFYC0,"@MarkRuffalo Yup. Democrat, republicunt? Doesn?t matter. Their behaviour was disgusting regardless of political affiliation",Private
338431Z1FLMY9P9JJN59MAEX4MKORM,@larryelder @BillClinton @HillaryClinton Larry find out Steven Paddock political affiliation: Dem Rep Indep nothing?,Private
38G0E1M85MCLF1AXOTMSMDVP7ELUVY,@adzuanaga very well should we not come together as a people and weed this rejected lot irrespective of affiliation?,Private
3P7QK0GJ3TST4965661P10DTCY7Z2K,Waking up to sexual assault being politicized like all these men from whatever political affiliation aren't scum. WTF is wrong w u people?,Private
3XBYQ44Z6PBJUDVDEY1E3JS1V9GTWG,@andreakirwan Paddock isn't registered to vote at all. No political or religious affiliation anywhere either.,Private
3OKP4QVBP24IIV64TT6FMBGLDW5GAJ,@jaketapper Tired of behavior linked up with political affiliation. Very unnatural.,Private
3GONHBMNHV5JBDAYGOK9G9RRI3OMZY,@Sethrogen @Costco wow being called a nazi for having a mainstream political affiliation. That must be terrible for you (note the sarcasm),Private
33TGB4G0LPOYJD03O3X052684BMTX9,"@orenfrank @JamesADamore So for your next job, you will put your political affiliation on your resume?",Private
3WKGUBL7SZTJ2Y4OVJT4M0ZTH3W4L3,@CarmenYulinCruz You are a liar and a disgrace to professionalism . Political affiliation should not be on your agenda...shame on you !!!,Private
3WGCNLZJKFFJCNJDVKCE5PKLWAJ1D6,Can someone explain to me Tim McGraws affiliation to TCU?,Private
31KSVEGZ34Z6EYILA9WJ34RJ7OJWR6,"@r_cunnane Don?t think you get it.. I have never worked for iTeach, nor have any affiliation. #parody",Private
382GHPVPHSY2MUEZPDP4QE5CHH443O,Why do we immediately check the political affiliation of mass shooters and celebrity sexual predators? #LookingToBlame,Private
3T2EL38U0MRLRX8B7Z350XVLK4NXQZ,"BULLIES hold no political affiliation. Grab any handy weapon. Bully in power ($, influence) use ?victim shaming? & complicit crowd SILENCE",Private
36D1BWBEHN8T527MRHBVTYHKXUPM2Q,@FFJeffM I like this. Personal decisions over random affiliation. Chapeau Jeff ????,Private
30ZKOOGW2WDLEGG1BALCFOCFB7M1A4,"We?re now deciding how sexual predators should be treated based on political affiliation. Yeah, New America is an awful place. Yikes!",Private
3Q2T3FD0ONFIQK35VHP0C8MC38PM31,I have as much respect for #HarveyWeinstein as I do #DonaldTrump I don't care what ur political affiliation is-A misogynist is a misogynist.,Private
306996CF6WRQXQLTHOL8AZWLTP71BZ,@ErinSnowy @Nydylla @xpriny ur right i dont wanna compare to a canadian that has no affiliation to Trailer Park Boys,Private
344M16OZKIMRI042W2LW8EF9ZNPENK,@kimguilfoyle when will you find out his political affiliation? Rep Dem Indep nothing?,Private
37VUR2VJ6AW97VDZVOH3LJ23BA71C6,@TheAtlantic @GrahamDavidA it doesn?t matter what your political affiliation is - sexual assault and harassment is pervasive. #DoBetter,Private
3ZVPAMTJWNAAHCSLV4S1H15VD0TRG2,Ever notice how few politicians running for office declare their political affiliation in their ads?,Private
3VGZ74AYTGN6BA32D726S669DZQGCL,"I find it so crazy when Ann Arbor locals try to argue with me about U of M being better than MSU, first of all you have zero affiliation.",Private
3SMIWMMK61CYUQA2E3RO8FE3ENNWUA,@EuterpePDX @FoxNewsResearch Terrorist affiliation.,Private
36FFXPMST9VLKVVGNITF86CRHDMHOI,@talltxn14 @TheGrizzofBU @Big12Refs Don?t you have a TCU cap to buy even though you have no affiliation to the school?,Private
3VMHWJRYHVNO08I2TJSBOYR7D2EXF5,@KatrinaPierson No woman or man regardless of political affiliation should even insinuate the suggestion. It is sick.,Private
31SIZS5W59M1U1MZY0XDBF9XJN2RQX,"If I had a dime every time I informed a client w no religious affiliation, rosaries are Catholic, it'd match the cost of their dumb tattoo",Private
3EAWOID6MT45ZFYHQM88X67IRPHV0W,"Can also do an eyeball test by scrolling the accounts you follow. Note race, gender, political affiliation, and keywords in their bio. 3/",Private
39KMGHJ4RZHP6EX1NPKJCDHSXT500A,Who cares about political affiliation? #HarveyWeinstein is a fucking creep & so is our #moron of a #President.,Private
3IZVJEBJ6ARHMAP6T8DSRDU5S396Z8,"@VanJones68 Good luck selling the book to ""your side"". If you had said you had no affiliation and simply believed in the following....maybe",Private
3ODOP6T3ASRD1CIGLDBZ740KB3524C,@integrated_me I don't think it was meant to be a turn-on anyways. Who gets turned on by political affiliation?,Private
3AFT28WXLF9LGQ60T0B08ID6HQ1IOC,@MIG29_ do the people of Mayadeen have a strong affiliation to ISIS,Private
3NOEP8XAU490RL7W7MOG0S5BF81PX0,"@PrisonPlanet Sex, religion, race are protected classes. Political affiliation is not, though it should be.",Private
36MUZ9VAE69IWODP787TC93FLJNED2,@MistyPassions As far as we know....the only political affiliation found in Paddocks back round is as a Democrat. Imagine that!,Private
3WYZV0QBFJKYNR6MOH6F580MY4MBX1,"If I read this story from anyone regardless of political affiliation, gender, race, age, sexual orientation, etc. I would forget...",Private
34F34TZU7W634U11OKY3D6P3T0V2J3,"For the record, I have absolutely no affiliation with BLACK Lives Matter, BLM or any other acronym associated with such movement or term",Private
3K1H3NEY7L6GG29GD3XHCCORYZ2GDL,"If anyone asks me abt my political affiliation/inclination, my answer is - I'm not #Right, I'm not #Left, nor I'm wrong; I'm #CENTER. Simple",Private
3EFNPKWBMSVLN6WY6C22EBFZ05P035,.@BauerOutage there is a direct correlation between your trash political affiliation and your performance in game 4,Private
3Z56AA6EK47HN3QNEJNYJBYWDZRM67,@CillizzaCNN Sexual assault isn't about political affiliation. Didn't you know that?,Private
3R4QIDVOJPJNOURP33IDIRL0LVOEEV,"@Geskalima @JAZZYONEMEL @taylorbuaya @Momma_Griff @ABC The goal is to terrorize, no political affiliation necessary",Private
32L724R85LR31QI180OFXIIWRVXIPT,"We are all so different in so many other ways. We have different DNA, different finger prints. Why choose to hate political affiliation?",Private
3126F2F5F8ARLLGFCHYOC3K4Z2QPER,"@TuckerCarlson #Tucker @UofMaryland many had stolen land which was not theirs, committed money fraud and falsified Tribal affiliation.",Private
3S1L4CQSFXCC4VA9I90X4QG9CH5FAJ,"Someone asked me what was my political affiliation, I?m like naaaaa ion discuss politics",Private
3NFWQRSHVELDEMNC49S70CRCACIGFW,@NickKristof Yamhill still touts your affiliation; as they should!,Private
3UY4PIS8QRSSYZAQKEQH1UWFAELN1A,"After Christianity, the largest religious affiliation in the U.S. is Judaism.",Private
3ROUCZ907F1VCCH3RVO5SF9STZ0OOD,I honestly wonder if this guys is actually a Broncos fan.. Found the guy based on the caption. In Twitter there's no affiliation w/ BSU lol,Private
3P0I4CQYVYE3HLQ5IHFF99MEW1ZWOX,@detroitnews I would love to know this moron judge's verdict history and political affiliation... as well as mental status.,Private
3566S7OX5DQ3VEI3479S5XAPAZG71J,"I feel like everybody in this country should be on board with anti-fascism, regardless of political affiliation.",Private
3MD8CKRQZZUK8EIM3AD4EEXB5SARJ6,Fuck affiliation I?m that dude that did it on his own.,Private
3IQ9O0AYW661TIB8PHXZ2SJTGYIITY,@MLBGrapevine Would imagine you would need an outside group that doesn't have actual affiliation (and conflict of interest) with the org,Private
3B9J25CZ25K91FCT87WNHKPC1AKSCH,@redpillw Suchly goodly bigly for business tho. Creates strong brand affiliation and repeat customers.,Private
3W5PY7V3UPET5FU8H55YMAQ88FPJY0,@remax you may want to reconsider affiliation with @OhioAgent. I would NEVER buy from her due to victim blaming.,Private
3I7SHAD35M30R34SXTSQPPYS8ABM76,@American4ever1 @rickmakeitquick Also--neither Paddock nor Lanza had any registered political affiliation.,Private
3FHTJGYT8N7P5ZC6ICOCC65GCI5PG8,"@b50 @IndianWeather_ His/her bio says ""No Affiliation To Any Official Agency. Just a weather Enthusiast""",Private
3O71U79SRBWMA1OKLWQ1KGUOVOOMST,"@RandyFRaccoon You sick bastard!???? I don't know this raccoon, I have no affiliation with any raccoon's, never saw him b4!",Private
389A2A304OP906SHZ5D37EJT6I1C0E,#brainathon has no affiliation to me other than listening over the years has helped me become a leader w/#PTSD! Take action for #freedom!,Private
3SV8KD29L4ZOLPAVVC7T1WZNTYTKZR,@OneFineJay because the graves would be claimed by a tribal group (even if affiliation was tenuous) - just an interesting difference,Private
37VUR2VJ6AW97VDZVOH3LJ23BA7C1H,@AndrewGowerF4ns Thanks. Colin is a pipe dream. You know Disney's affiliation with #OUAT wouldnt let him do #Outlander #IWish tho! ??,Private
3NRZ1LDP7WDPWG7B84C1XDLMN8ZPZX,@Kareshy_slut @igame4games @NickJFuentes Take 5 seconds to look up the political affiliation of confederates.,Private
3R5LWXWHR0FUE8EX43YT6JRJEHEXG4,"My answer to that is no, if you don?t have enough on your resume to leave your greek affiliation off of it you aren?t doing enough.",Private
3BCRDCM0OD1MXFQKT7AI4Y6SOUWK60,@Wells_P @brunzilla I can neither confirm nor deny my financial affiliation with the Warriors.,Private
3RQVKZ7ZRKQAKZ0ZNB96AGKU25U720,"As long as we allow the people in power to divide us by race, religion, and political affiliation, the immoral will conquer. #waronmorals",Private
3FJ2RVH25ZDEYIOS287QOCB0XVJ298,@Benzduck100 Projecting. They can't imagine that you would hold a person to a higher standard than their political affiliation.,Private
35A1YQPVFENZ8G0IOLF1ZCDF0VWI57,@cathyob1 @nickconfessore We do. A pig is a pig despite their political affiliation.,Private
34R3P23QHS8TP44IE4KPP0PDKFLHWU,"@sjrozas @TexasMonthly Oh, I get it. You & I are actually agreeing. It's my REP affiliation that gives the impression I disagree?",Private
3TFJJUELSHWGWGVVESHHQ2C83GM2CP,@siBulelik This is not law. I don't have any affiliation with the two,Private
3J9UN9O9J3ZW8KYN9XUPUIWOW2B0JH,@Stips620 @DailyCaller Everything that has a CLINTON name or affiliation is a #SCAM and should be prosecuted as such.,Private
3D4BBDG7ZH35HYREISVM9CH09ULC39,"@VitalikButerin @jDally987 ""Political affiliation: Cuckservative"" nice ??",Private
30U1YOGZGA3J67I783RY1Q7UMAWSDH,I can't believe how many people in the last year I've met in this town have straight up lied about their job or affiliation lol,Private
3UEDKCTP9VX51F4PCHFAAC6OJ5GK7Z,@myracingtips All that affiliation profit must be so damn frustrating!,Private
391FPZIE4CTGX0FDJ45O7C4GZZAHUV,"@JoeMConnolly Fair enough, what's your affiliation to sos, why do you think they represent Liverpool fans",Private
3W0KKJIARRG91T98MM7GOC2JUPMK8M,"I never met A Butta and have no affiliation with @StreetsFirstPC, but I fuck with the movement heavy and it's a breath of fresh air.",Private
386T3MLZLN27O324ITXY5SNAGRH08X,"@1Progressivism @HuffPostPol Nasty men have no political affiliation,",Private
